,REM_GDP
2002Q1,5.3249188604
2002Q2,6.7756045425
2002Q3,8.4134600836
2002Q4,8.3219319293
2003Q1,7.6999297422
2003Q2,9.5030973736
2003Q3,9.6032635416
2003Q4,9.6506351912
2004Q1,9.7947716208
2004Q2,10.6212756964
2004Q3,10.2481121899
2004Q4,10.2757627786
2005Q1,9.3454440273
2005Q2,11.3913130458
2005Q3,10.5319518213
2005Q4,11.2834443206
2006Q1,10.0414285294
2006Q2,12.7822836117
2006Q3,11.9613752475
2006Q4,11.4123745663
2007Q1,10.0476182727
2007Q2,12.9527191004
2007Q3,12.5324082195
2007Q4,11.6670446809
2008Q1,9.9420101437
2008Q2,11.8015157225
2008Q3,11.3659519641
2008Q4,9.7436200775
2009Q1,9.1801777050
2009Q2,11.0124310313
2009Q3,11.0574336486
2009Q4,9.7707054975
2010Q1,8.8070386558
2010Q2,10.8424436942
2010Q3,10.9353272945
2010Q4,9.3667946995
2011Q1,8.4169922163
2011Q2,10.2863993769
2011Q3,9.5168768007
2011Q4,8.7875974471
2012Q1,8.4014503445
2012Q2,10.6320499109
2012Q3,10.0581443828
2012Q4,9.2634083495
2013Q1,8.5889778597
2013Q2,10.2705343136
2013Q3,10.1501555436
2013Q4,9.5642662165
2014Q1,8.8380079686
2014Q2,10.3719722877
2014Q3,10.1170373208
2014Q4,9.1307976382
2015Q1,9.0416111727
2015Q2,10.2924553983
2015Q3,10.5626666489
2015Q4,10.5300714298
2016Q1,10.2611202244
2016Q2,11.5973989728
2016Q3,10.7519199478
2016Q4,10.8164467722
2017Q1,11.0261108664
2017Q2,12.1475727189
2017Q3,11.4703983841
2017Q4,11.2118780348
2018Q1,10.8294545410
2018Q2,13.0972900591
2018Q3,13.3102444057
2018Q4,13.2332497741
2019Q1,11.7598938629
2019Q2,14.3908656764
2019Q3,14.6748439421
2019Q4,13.6467826615
2020Q1,12.0960081346
2020Q2,14.0315710377
2020Q3,16.3159459491
2020Q4,15.7720169856
2021Q1,15.0241068706
2021Q2,18.3406984856
2021Q3,18.8243961400
2021Q4,18.8527161809
2022Q1,17.0029510504
2022Q2,20.5632664028
2022Q3,19.3390545820
2022Q4,18.9385756427
2023Q1,17.4555775148
2023Q2,20.5418069059
2023Q3,19.9914127105
