,GDP,NGDP,GDP_RW
Comments ->,Producto Interno Bruto real de Guatemala,Producto Interno Bruto nominal de Guatemala,Producto Interno Bruto de EEUU
2001Q1,70060.6,,14183.12
2001Q2,66509.1,,14271.694
2001Q3,66314.4,,14214.516
2001Q4,71106.3,,14253.574
2002Q1,72155.3,43258.8,14372.785
2002Q2,69896.2,41448.7,14460.848
2002Q3,70306.1,42519.3,14519.633
2002Q4,73264.1,44219.7,14537.58
2003Q1,75441.3,47396.9,14614.141
2003Q2,71542.1,44096.5,14743.567
2003Q3,71890.5,45153.4,14988.782
2003Q4,74221.7,46639.5,15162.76
2004Q1,76687.7,50015.5,15248.68
2004Q2,73508.5,47474.2,15366.85
2004Q3,74000.4,48760.2,15512.619
2004Q4,77600.2,52302.2,15670.88
2005Q1,79264,54739.5,15844.727
2005Q2,77149.5,52652.9,15922.782
2005Q3,75770.3,52604.2,16047.587
2005Q4,78863.6,55186.5,16136.734
2006Q1,83160,60101.9,16353.835
2006Q2,79399.4,56810.3,16396.151
2006Q3,80781.3,58936.3,16420.738
2006Q4,85047.2,62174.3,16561.866
2007Q1,88341.8,67591.7,16611.69
2007Q2,85226.5,64074.5,16713.314
2007Q3,85488.2,66701.7,16809.587
2007Q4,89195,70455.9,16915.191
2008Q1,90929.6,75225.8,16843.003
2008Q2,90145.1,74565.1,16943.291
2008Q3,88192.3,75672.5,16854.295
2008Q4,91738.9,78865.9,16485.35
2009Q1,90819.8,78253.3,16298.262
2009Q2,89285.9,74997.8,16269.145
2009Q3,89414.1,76667.6,16326.281
2009Q4,93767.9,80066.9,16502.754
2010Q1,93561.1,83764.1,16582.71
2010Q2,92080.5,80946.3,16743.162
2010Q3,91027.2,82168.1,16872.266
2010Q4,96812,87555.7,16960.864
2011Q1,97288.7,91460.7,16920.632
2011Q2,96227,89623.1,17035.114
2011Q3,96247.7,92060.3,17031.313
2011Q4,100318.9,96206,17222.583
2012Q1,101001.4,98146.8,17367.01
2012Q2,98806.4,95001.2,17444.525
2012Q3,98662.2,95942.2,17469.65
2012Q4,103889.3,101835.8,17489.852
2013Q1,103960.2145,103834.6133,17662.4
2013Q2,103201.304,102176.6274,17709.671
2013Q3,102372.4937,102217.2607,17860.45
2013Q4,106849.2081,108154.719,18016.147
2014Q1,108289.5457,109523.9833,17953.974
2014Q2,107649.8031,109403.8826,18185.911
2014Q3,106782.8435,111334.4577,18406.941
2014Q4,112165.0061,117064.0026,18500.031
2015Q1,113343.6598,117896.9058,18666.621
2015Q2,111016.1122,116183.7874,18782.243
2015Q3,112035.3744,118716.6885,18857.418
2015Q4,116288.3785,123225.4397,18892.206
2016Q1,115243.0968,123838.4719,19001.69
2016Q2,115126.3113,122799.3196,19062.709
2016Q3,114354.3244,124518.1107,19197.938
2016Q4,120081.7641,130845.8021,19304.352
2017Q1,120681.0392,131682.6941,19398.343
2017Q2,117991.6816,127650.3054,19506.949
2017Q3,117906.0925,130291.7544,19660.766
2017Q4,122542.0014,136882.6604,19882.352
2018Q1,123950.2194,136948.2472,20044.077
2018Q2,123024.8036,134588.6944,20150.476
2018Q3,122027.8086,136449.8997,20276.154
2018Q4,126441.0231,143381.2408,20304.874
2019Q1,128558.7057,144926.8264,20415.15
2019Q2,127734.4679,145349.1562,20584.528
2019Q3,126950.5553,147630.4659,20817.581
2019Q4,132106.5542,156065.5714,20951.088
2020Q1,129609.1466,151277.9463,20665.553
2020Q2,115921.9764,136512.5359,19034.83
2020Q3,125171.4499,150141.0921,20511.785
2020Q4,135445.8632,162190.9266,20724.128
2021Q1,135416.212,162873.721,20990.541
2021Q2,134011.5246,162091.3172,21309.544
2021Q3,135456.9703,167234.5439,21483.083
2021Q4,141923.988,176661.2865,21847.602
2022Q1,141826.2042,179473.0447,21738.871
2022Q2,140382.1986,179537.7675,21708.16
2022Q3,140792.3819,185615.2772,21851.134
2022Q4,146774.7279,196342.5507,21989.981
2023Q1,147507.0749,200812.401,22112.329
2023Q2,146161.9952,200847.4224,22225.35
2023Q3,146456.1505,203697.6096,22490.692
2023Q4,149745.0898,212696.6161,22679.255
2024Q1,,,22749.846
