,NGDP
2002Q1,43258.8
2002Q2,41448.7
2002Q3,42519.3
2002Q4,44219.7
2003Q1,47396.9
2003Q2,44096.5
2003Q3,45153.4
2003Q4,46639.5
2004Q1,50015.5
2004Q2,47474.2
2004Q3,48760.2
2004Q4,52302.2
2005Q1,54739.5
2005Q2,52652.9
2005Q3,52604.2
2005Q4,55186.5
2006Q1,60101.9
2006Q2,56810.3
2006Q3,58936.3
2006Q4,62174.3
2007Q1,67591.7
2007Q2,64074.5
2007Q3,66701.7
2007Q4,70455.9
2008Q1,75225.8
2008Q2,74565.1
2008Q3,75672.5
2008Q4,78865.9
2009Q1,78253.3
2009Q2,74997.8
2009Q3,76667.6
2009Q4,80066.9
2010Q1,83764.1
2010Q2,80946.3
2010Q3,82168.1
2010Q4,87555.7
2011Q1,91460.7
2011Q2,89623.1
2011Q3,92060.3
2011Q4,96206
2012Q1,98146.8
2012Q2,95001.2
2012Q3,95942.2
2012Q4,101835.8
2013Q1,103834.6133
2013Q2,102176.6274
2013Q3,102217.2607
2013Q4,108154.719
2014Q1,109523.9833
2014Q2,109403.8826
2014Q3,111334.4577
2014Q4,117064.0026
2015Q1,117896.9058
2015Q2,116183.7874
2015Q3,118716.6885
2015Q4,123225.4397
2016Q1,123838.4719
2016Q2,122799.3196
2016Q3,124518.1107
2016Q4,130845.8021
2017Q1,131682.6941
2017Q2,127650.3054
2017Q3,130291.7544
2017Q4,136882.6604
2018Q1,136948.2472
2018Q2,134588.6944
2018Q3,136449.8997
2018Q4,143381.2408
2019Q1,144926.8264
2019Q2,145349.1562
2019Q3,147630.4659
2019Q4,156065.5714
2020Q1,151277.9463
2020Q2,136512.5359
2020Q3,150141.0921
2020Q4,162190.9266
2021Q1,162873.721
2021Q2,162091.3172
2021Q3,167234.5439
2021Q4,176661.2865
2022Q1,179473.0447
2022Q2,179537.7675
2022Q3,185615.2772
2022Q4,196342.5507
2023Q1,200812.401
2023Q2,200847.4224
2023Q3,203697.6096
2023Q4,212696.6161
